name,sub_cpo_id,external_id
has.to.be gmbh,AT*DAE,AT*HTB
has.to.be gmbh,AT*ELA,AT*HTB
has.to.be gmbh,AT*ETB,AT*HTB
has.to.be gmbh,AT*HTB,AT*HTB
has.to.be gmbh,AT*IKB,AT*HTB
has.to.be gmbh,AT*SZG,AT*HTB
has.to.be gmbh,AT*TLN,AT*HTB
has.to.be gmbh,CH*AMA,AT*HTB
has.to.be gmbh,CH*EDH,AT*HTB
has.to.be gmbh,DE*122,AT*HTB
has.to.be gmbh,DE*444,AT*HTB
has.to.be gmbh,DE*AUC,AT*HTB
has.to.be gmbh,DE*BOX,AT*HTB
has.to.be gmbh,DE*BPE,AT*HTB
has.to.be gmbh,DE*CCD,AT*HTB
has.to.be gmbh,DE*CIW,AT*HTB
has.to.be gmbh,DE*CON,AT*HTB
has.to.be gmbh,DE*DES,AT*HTB
has.to.be gmbh,DE*EDH,AT*HTB
has.to.be gmbh,DE*HPC,AT*HTB
has.to.be gmbh,DE*HUM,AT*HTB
has.to.be gmbh,DE*NAG,AT*HTB
has.to.be gmbh,DE*ODR,AT*HTB
has.to.be gmbh,DE*SMC,AT*HTB
has.to.be gmbh,DE*SRE,AT*HTB
has.to.be gmbh,DE*SSW,AT*HTB
has.to.be gmbh,DE*VHM,AT*HTB
has.to.be gmbh,DE*WIT,AT*HTB
has.to.be gmbh,DK*SPA,AT*HTB
has.to.be gmbh,EE*ALX,AT*HTB
has.to.be gmbh,FR*CG0,AT*HTB
has.to.be gmbh,FR*LDL,AT*HTB
has.to.be gmbh,GB*HUB,AT*HTB
has.to.be gmbh,HR*PHR,AT*HTB
has.to.be gmbh,HR*QLO,AT*HTB
has.to.be gmbh,HU*AUD,AT*HTB
has.to.be gmbh,IT*COG,AT*HTB
has.to.be gmbh,LV*CSD,AT*HTB
has.to.be gmbh,LV*ELR,AT*HTB
has.to.be gmbh,NL*BPE,AT*HTB
has.to.be gmbh,RO*LEK,AT*HTB
has.to.be gmbh,SE*PCS,AT*HTB
has.to.be gmbh,UK*HUB,AT*HTB
has.to.be gmbh,DE*AVP,AT*HTB
Heldele GmbH CPO,DE*730,DE*730
Hera Comm,IT*HRA,IT*HRA
Hrvatska elektroprivreda d.d.,HR*HEP,HR*HEP
Hrvatski Telekom d.d.,HR005E,HR005
HUJ-Nobil,+358*899,+49*899
HUJ-Nobil,+46*899,+49*899
HUJ-Nobil,+47*899,+49*899
IBERDROLA CLIENTES,ES*IBD,ES*IBD
IBIL Gestor de Carga de VE S.A.,ES*IBL,ES*IBL
illwerke vkw AG (AT),AT*VKW,AT*VKW
illwerke vkw AG (CPO DE),DE*VKW,DE*VKW
inno2grid GmbH,DE*I2G,DE*I2G
Inselwerke,DE*BLN,DE*BLN
Inselwerke,DE*KWB,DE*BLN
IONITY GmbH,AT*ION,DE*ION
IONITY GmbH,BE*ION,DE*ION
IONITY GmbH,CH*ION,DE*ION
IONITY GmbH,CZ*ION,DE*ION
IONITY GmbH,DE*ION,DE*ION
IONITY GmbH,DK*ION,DE*ION
IONITY GmbH,EE*ION,DE*ION
IONITY GmbH,ES*ION,DE*ION
IONITY GmbH,FI*ION,DE*ION
IONITY GmbH,FR*ION,DE*ION
IONITY GmbH,GB*ION,DE*ION
IONITY GmbH,HR*ION,DE*ION
IONITY GmbH,HU*ION,DE*ION
IONITY GmbH,IE*ION,DE*ION
IONITY GmbH,IT*ION,DE*ION
IONITY GmbH,LT*ION,DE*ION
IONITY GmbH,LV*ION,DE*ION
IONITY GmbH,NL*ION,DE*ION
IONITY GmbH,NO*ION,DE*ION
IONITY GmbH,PL*ION,DE*ION
IONITY GmbH,SE*ION,DE*ION
IONITY GmbH,SI*ION,DE*ION
IONITY GmbH,SK*ION,DE*ION
